param,val,status,net_chi
theta,-6.283185307179586,Residual Dipole,0.7071067811865477
theta,-6.026728764029399,Residual Dipole,0.8864676575480124
theta,-5.770272220879212,Residual Dipole,1.054096489855794
theta,-5.513815677729025,Residual Dipole,1.1990286302714261
theta,-5.257359134578838,Residual Dipole,1.3117840277902282
theta,-5.00090259142865,Residual Dipole,1.3849873209743189
theta,-4.744446048278463,Residual Dipole,1.4138502623645377
theta,-4.487989505128276,Residual Dipole,1.396484919058358
theta,-4.231532961978089,Residual Dipole,1.334027162918185
theta,-3.9750764188279017,Residual Dipole,1.2305623728816983
theta,-3.7186198756777147,Residual Dipole,1.0928582092064598
theta,-3.462163332527527,Residual Dipole,0.9299219389586586
theta,-3.20570678937734,Residual Dipole,0.7524112682070234
theta,-2.949250246227153,Residual Dipole,0.5719372185494859
theta,-2.6927937030769655,Residual Dipole,0.40030464700994717
theta,-2.4363371599267785,Residual Dipole,0.24874008710673634
theta,-2.1798806167765914,Residual Dipole,0.1271574182199806
theta,-1.9234240736264043,Vacuum,0.043509396025723124
theta,-1.6669675304762173,Vacuum,0.0032674605687190716
theta,-1.4105109873260302,Vacuum,0.009063847870360187
theta,-1.1540544441758431,Vacuum,0.06051941464948829
theta,-0.8975979010256552,Residual Dipole,0.1542684381882723
theta,-0.6411413578754681,Residual Dipole,0.2841787691771253
theta,-0.38468481472528104,Residual Dipole,0.44175293728077664
theta,-0.12822827157509398,Residual Dipole,0.6166839730005444
theta,0.1282282715750931,Residual Dipole,0.7975295893725498
theta,0.38468481472528016,Residual Dipole,0.9724606250923177
theta,0.6411413578754672,Residual Dipole,1.1300347931959691
theta,0.8975979010256552,Residual Dipole,1.2599451241848225
theta,1.1540544441758422,Residual Dipole,1.3536941477236064
theta,1.4105109873260293,Residual Dipole,1.4051497145027347
theta,1.6669675304762164,Residual Dipole,1.4109461018043759
theta,1.9234240736264034,Residual Dipole,1.370704166347372
theta,2.1798806167765914,Residual Dipole,1.2870561441531143
theta,2.4363371599267776,Residual Dipole,1.1654734752663591
theta,2.6927937030769655,Residual Dipole,1.0139089153631478
theta,2.9492502462271517,Residual Dipole,0.8422763438236099
theta,3.2057067893773397,Residual Dipole,0.6618022941660718
theta,3.462163332527526,Residual Dipole,0.48429162341443716
theta,3.718619875677714,Residual Dipole,0.3213553531666356
theta,3.9750764188279,Residual Dipole,0.18365118949139747
theta,4.231532961978088,Vacuum,0.08018639945491002
theta,4.487989505128276,Vacuum,0.017728643314737114
theta,4.744446048278462,Vacuum,0.00036330000855733235
theta,5.00090259142865,Vacuum,0.029226241398776165
theta,5.257359134578836,Residual Dipole,0.10242953458286597
theta,5.513815677729024,Residual Dipole,0.2151849321016684
theta,5.77027222087921,Residual Dipole,0.36011707251729963
theta,6.026728764029398,Residual Dipole,0.527745904825082
theta,6.283185307179586,Residual Dipole,0.7071067811865472
phi,-6.283185307179586,Residual Dipole,0.7071067811865479
phi,-6.026728764029399,Residual Dipole,1.1978243331904856
phi,-5.770272220879212,Residual Dipole,1.5622495441918935
phi,-5.513815677729025,Residual Dipole,1.7065929973872354
phi,-5.257359134578838,Residual Dipole,1.5937060875595477
phi,-5.00090259142865,Residual Dipole,1.2526416823970954
phi,-4.744446048278463,Residual Dipole,0.7711770011672597
phi,-4.487989505128276,Residual Dipole,0.273223042068989
phi,-4.231532961978089,Residual Dipole,-0.11306547341040851
phi,-3.9750764188279017,Residual Dipole,-0.28827233176265077
phi,-3.7186198756777147,Residual Dipole,-0.20730584182926526
phi,-3.462163332527527,Residual Dipole,0.10899625069533159
phi,-3.20570678937734,Residual Dipole,0.5792296195020413
phi,-2.949250246227153,Residual Dipole,1.0823737860659213
phi,-2.6927937030769655,Residual Dipole,1.4889382636545774
phi,-2.4363371599267785,Residual Dipole,1.6942885646009977
phi,-2.1798806167765914,Residual Dipole,1.645575203236308
phi,-1.9234240736264043,Residual Dipole,1.3553351764943362
phi,-1.6669675304762173,Residual Dipole,0.8982654098879206
phi,-1.4105109873260302,Residual Dipole,0.39199856316292786
phi,-1.1540544441758431,Vacuum,-0.03317121588876715
phi,-0.8975979010256552,Residual Dipole,-0.26782113099527616
phi,-0.6411413578754681,Residual Dipole,-0.2515610718501132
phi,-0.38468481472528104,Vacuum,0.011424230583060746
phi,-0.12822827157509398,Residual Dipole,0.45345219727703934
phi,0.1282282715750931,Residual Dipole,0.9607613650960538
phi,0.38468481472528016,Residual Dipole,1.402789331790033
phi,0.6411413578754672,Residual Dipole,1.6657746342232076
phi,0.8975979010256552,Residual Dipole,1.682034693368371
phi,1.1540544441758422,Residual Dipole,1.4473847782618632
phi,1.4105109873260293,Residual Dipole,1.0222149992101688
phi,1.6669675304762164,Residual Dipole,0.515948152485176
phi,1.9234240736264034,Vacuum,0.05887838587875993
phi,2.1798806167765914,Residual Dipole,-0.2313616408632131
phi,2.4363371599267776,Residual Dipole,-0.28007500222790294
phi,2.6927937030769655,Vacuum,-0.07472470128148245
phi,2.9492502462271517,Residual Dipole,0.3318397763071712
phi,3.2057067893773397,Residual Dipole,0.8349839428710527
phi,3.462163332527526,Residual Dipole,1.3052173116777612
phi,3.718619875677714,Residual Dipole,1.6215194042023593
phi,3.9750764188279,Residual Dipole,1.7024858941357461
phi,4.231532961978088,Residual Dipole,1.5272790357835044
phi,4.487989505128276,Residual Dipole,1.140990520304106
phi,4.744446048278462,Residual Dipole,0.643036561205837
phi,5.00090259142865,Residual Dipole,0.16157187997599953
phi,5.257359134578836,Residual Dipole,-0.1794925251864512
phi,5.513815677729024,Residual Dipole,-0.29237943501414043
phi,5.77027222087921,Residual Dipole,-0.1480359818188005
phi,6.026728764029398,Residual Dipole,0.21638922918260783
phi,6.283185307179586,Residual Dipole,0.707106781186547
rho,-6.283185307179586,Residual Dipole,1.414213562373095
rho,-6.026728764029399,Residual Dipole,1.414213562373095
rho,-5.770272220879212,Residual Dipole,1.414213562373095
rho,-5.513815677729025,Residual Dipole,1.414213562373095
rho,-5.257359134578838,Residual Dipole,1.414213562373095
rho,-5.00090259142865,Residual Dipole,1.414213562373095
rho,-4.744446048278463,Residual Dipole,1.414213562373095
rho,-4.487989505128276,Residual Dipole,1.414213562373095
rho,-4.231532961978089,Residual Dipole,1.414213562373095
rho,-3.9750764188279017,Residual Dipole,1.414213562373095
rho,-3.7186198756777147,Residual Dipole,1.414213562373095
rho,-3.462163332527527,Residual Dipole,1.414213562373095
rho,-3.20570678937734,Residual Dipole,1.414213562373095
rho,-2.949250246227153,Residual Dipole,1.414213562373095
rho,-2.6927937030769655,Residual Dipole,1.414213562373095
rho,-2.4363371599267785,Residual Dipole,1.414213562373095
rho,-2.1798806167765914,Residual Dipole,1.414213562373095
rho,-1.9234240736264043,Residual Dipole,1.414213562373095
rho,-1.6669675304762173,Residual Dipole,1.414213562373095
rho,-1.4105109873260302,Residual Dipole,1.414213562373095
rho,-1.1540544441758431,Residual Dipole,1.414213562373095
rho,-0.8975979010256552,Residual Dipole,1.414213562373095
rho,-0.6411413578754681,Residual Dipole,1.414213562373095
rho,-0.38468481472528104,Residual Dipole,1.414213562373095
rho,-0.12822827157509398,Residual Dipole,1.414213562373095
rho,0.1282282715750931,Residual Dipole,1.414213562373095
rho,0.38468481472528016,Residual Dipole,1.414213562373095
rho,0.6411413578754672,Residual Dipole,1.414213562373095
rho,0.8975979010256552,Residual Dipole,1.414213562373095
rho,1.1540544441758422,Residual Dipole,1.414213562373095
rho,1.4105109873260293,Residual Dipole,1.414213562373095
rho,1.6669675304762164,Residual Dipole,1.414213562373095
rho,1.9234240736264034,Residual Dipole,1.414213562373095
rho,2.1798806167765914,Residual Dipole,1.414213562373095
rho,2.4363371599267776,Residual Dipole,1.414213562373095
rho,2.6927937030769655,Residual Dipole,1.414213562373095
rho,2.9492502462271517,Residual Dipole,1.414213562373095
rho,3.2057067893773397,Residual Dipole,1.414213562373095
rho,3.462163332527526,Residual Dipole,1.414213562373095
rho,3.718619875677714,Residual Dipole,1.414213562373095
rho,3.9750764188279,Residual Dipole,1.414213562373095
rho,4.231532961978088,Residual Dipole,1.414213562373095
rho,4.487989505128276,Residual Dipole,1.414213562373095
rho,4.744446048278462,Residual Dipole,1.414213562373095
rho,5.00090259142865,Residual Dipole,1.414213562373095
rho,5.257359134578836,Residual Dipole,1.414213562373095
rho,5.513815677729024,Residual Dipole,1.414213562373095
rho,5.77027222087921,Residual Dipole,1.414213562373095
rho,6.026728764029398,Residual Dipole,1.414213562373095
rho,6.283185307179586,Residual Dipole,1.414213562373095
