param,val,status,chi_left,chi_right,chi_gap,expected_partner_phi,phi_gap,theta_gap,rho_gap,pair_score,released_energy_proxy
theta,-6.283185307179586,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.5707963267948963,0.0,0.3926990816987242,0.6073009183012759
theta,-6.156252270670907,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.4438632902862174,0.0,0.36096582257155446,0.6390341774284456
theta,-6.029319234162229,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.3169302537775394,0.0,0.32923256344438495,0.6707674365556151
theta,-5.90238619765355,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.1899972172688604,0.0,0.2974993043172152,0.7025006956827848
theta,-5.775453161144872,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.0630641807601824,0.0,0.2657660451900457,0.7342339548099543
theta,-5.648520124636193,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.9361311442515035,0.0,0.23403278606287597,0.7659672139371241
theta,-5.521587088127515,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.8091981077428254,0.0,0.20229952693570646,0.7977004730642936
theta,-5.394654051618836,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.6822650712341465,0.0,0.17056626780853673,0.8294337321914633
theta,-5.267721015110158,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.5553320347254684,0.0,0.13883300868136722,0.8611669913186328
theta,-5.140787978601479,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.4283989982167895,0.0,0.1070997495541975,0.8929002504458025
theta,-5.013854942092801,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.3014659617081114,0.0,0.07536649042702798,1.0
theta,-4.886921905584122,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.1745329251994325,0.0,0.04363323129985825,1.0
theta,-4.759988869075444,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.04759988869075447,0.0,0.011899972172688742,1.0
theta,-4.6330558325667655,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.07933314781792447,0.0,0.019833286954481243,1.0
theta,-4.5061227960580865,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.20626618432660343,0.0,0.05156654608165098,1.0
theta,-4.3791897595494085,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.3331992208352814,0.0,0.08329980520882048,0.9167001947911795
theta,-4.25225672304073,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.46013225734395946,0.0,0.11503306433598999,0.88496693566401
theta,-4.1253236865320515,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.5870652938526384,0.0,0.1467663234631597,0.8532336765368402
theta,-3.998390650023373,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.7139983303613173,0.0,0.17849958259032944,0.8215004174096705
theta,-3.8714576135146945,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.8409313668699955,0.0,0.210232841717499,0.789767158282501
theta,-3.744524577006016,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.9678644033786734,0.0,0.24196610084466846,0.7580338991553315
theta,-3.6175915404973376,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.0947974398873523,0.0,0.2736993599718382,0.7263006400281617
