label,family,source,closure_mode,success,failure_reason,steps,r_final,horizon_hit,regularity_ok,boundary_residual_qnorm,boundary_residual_qprime_norm,final_mass,integrated_abs_ricci,peak_qnorm,peak_imag_to_real_ratio,half_mass_radius,mass_90_radius,ricci_half_radius,ricci_90_radius,settling_radius,core_radius,soft_region_width,omega,theta,phi,rho,a0,b0,c0,d0,provisional,notes,scenario,scenario_notes,scenario_closure_mode,scenario_central_amplitude_base,scenario_r_max,scenario_decay_target
continuation_00,continuation,linear_ordered_path_scalar_to_rich,minimal_trace,True,,2000,20.001000000000328,False,True,0.011066977174830628,0.0010675836551228,0.059437562855148535,0.004307895242978339,0.0244280551632034,0.0,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.860999999999876,20.000000000000327,0.2,0.0,0.0,0.0,0.0244280551632034,0.0,0.0,0.0,True,"Uses closure mode 'minimal_trace' with standard static scalar-multiplet stress bookkeeping and the corresponding configured Ricci-feedback rule. Ordered-state seeds are mapped into small regular-origin component amplitudes using central_amplitude_base * exp(omega), with the ordered map supplying component direction. Any non-baseline closure mode should be read as a numerical stress variant, not a uniquely derived fresh-tree closure for the xi R |q|^2 model.",baseline,Reference provisional closure used by current full solver.,minimal_trace,0.02,20.0,0.05
continuation_01,continuation,linear_ordered_path_scalar_to_rich,minimal_trace,True,,2000,20.001000000000328,False,True,0.011486776444806631,0.0011087011227554357,0.06406214215903637,0.004643272145853824,0.025361499935814394,0.47498863631802296,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.860999999999876,20.000000000000327,0.23750000000000002,0.39269908169872414,-0.19634954084936207,0.19634954084936207,0.02290857325887844,0.008444246847231482,-0.006340374983953596,0.0026262693088846744,True,"Uses closure mode 'minimal_trace' with standard static scalar-multiplet stress bookkeeping and the corresponding configured Ricci-feedback rule. Ordered-state seeds are mapped into small regular-origin component amplitudes using central_amplitude_base * exp(omega), with the ordered map supplying component direction. Any non-baseline closure mode should be read as a numerical stress variant, not a uniquely derived fresh-tree closure for the xi R |q|^2 model.",baseline,Reference provisional closure used by current full solver.,minimal_trace,0.02,20.0,0.05
continuation_02,continuation,linear_ordered_path_scalar_to_rich,minimal_trace,True,,2000,20.001000000000328,False,True,0.011922247601323124,0.0011514283249283736,0.06904614534127669,0.005004746882498994,0.026330613497352436,1.0000000000000067,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.860999999999876,20.000000000000327,0.275,0.7853981633974483,-0.39269908169872414,0.39269908169872414,0.018618555356779944,0.013165306748676213,-0.01316530674867622,1.4616426678633298e-18,True,"Uses closure mode 'minimal_trace' with standard static scalar-multiplet stress bookkeeping and the corresponding configured Ricci-feedback rule. Ordered-state seeds are mapped into small regular-origin component amplitudes using central_amplitude_base * exp(omega), with the ordered map supplying component direction. Any non-baseline closure mode should be read as a numerical stress variant, not a uniquely derived fresh-tree closure for the xi R |q|^2 model.",baseline,Reference provisional closure used by current full solver.,minimal_trace,0.02,20.0,0.05
continuation_03,continuation,linear_ordered_path_scalar_to_rich,minimal_trace,True,,2000,20.001000000000328,False,True,0.01237394523327719,0.001195831383606864,0.07441744256140503,0.005394348365470123,0.027336758823475926,1.5195578855080194,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.860999999999876,20.000000000000327,0.3125,1.1780972450961724,-0.5890486225480862,0.5890486225480862,0.015027784265254052,0.014231463338820137,-0.01649919347573949,-0.006834189705868979,True,"Uses closure mode 'minimal_trace' with standard static scalar-multiplet stress bookkeeping and the corresponding configured Ricci-feedback rule. Ordered-state seeds are mapped into small regular-origin component amplitudes using central_amplitude_base * exp(omega), with the ordered map supplying component direction. Any non-baseline closure mode should be read as a numerical stress variant, not a uniquely derived fresh-tree closure for the xi R |q|^2 model.",baseline,Reference provisional closure used by current full solver.,minimal_trace,0.02,20.0,0.05
continuation_04,continuation,linear_ordered_path_scalar_to_rich,minimal_trace,True,,2000,20.001000000000328,False,True,0.012842439794871492,0.0012419795005341038,0.08020605450533692,0.005814262924516086,0.028381350971865144,1.732050807568878,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.8509999999998765,20.000000000000327,0.35,1.5707963267948966,-0.7853981633974483,0.7853981633974483,0.01419067548593257,0.014190675485932575,-0.014190675485932572,-0.01419067548593257,True,"Uses closure mode 'minimal_trace' with standard static scalar-multiplet stress bookkeeping and the corresponding configured Ricci-feedback rule. Ordered-state seeds are mapped into small regular-origin component amplitudes using central_amplitude_base * exp(omega), with the ordered map supplying component direction. Any non-baseline closure mode should be read as a numerical stress variant, not a uniquely derived fresh-tree closure for the xi R |q|^2 model.",baseline,Reference provisional closure used by current full solver.,minimal_trace,0.02,20.0,0.05
continuation_05,continuation,linear_ordered_path_scalar_to_rich,minimal_trace,True,,2000,20.001000000000328,False,True,0.013328317566024823,0.0012899451416144199,0.08644431657863326,0.006266846468052303,0.029465859072380307,1.6400405102823956,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.8509999999998765,20.000000000000327,0.3875,1.9634954084936207,-0.9817477042468103,0.9817477042468103,0.015339868776809906,0.01619821048243079,-0.007366464768095077,-0.01778421914987871,True,"Uses closure mode 'minimal_trace' with standard static scalar-multiplet stress bookkeeping and the corresponding configured Ricci-feedback rule. Ordered-state seeds are mapped into small regular-origin component amplitudes using central_amplitude_base * exp(omega), with the ordered map supplying component direction. Any non-baseline closure mode should be read as a numerical stress variant, not a uniquely derived fresh-tree closure for the xi R |q|^2 model.",baseline,Reference provisional closure used by current full solver.,minimal_trace,0.02,20.0,0.05
continuation_06,continuation,linear_ordered_path_scalar_to_rich,minimal_trace,True,,2000,20.001000000000328,False,True,0.013832180531964366,0.0013398042364534263,0.09316705534301517,0.006754637575508064,0.030591808393267576,1.7320508075688794,14.670999999999731,19.00100000000017,14.28099999999974,18.87100000000015,0.001,7.8509999999998765,20.000000000000327,0.425,2.356194490192345,-1.1780972450961724,1.1780972450961724,0.015295904196633786,0.021631675163639043,-1.698186502156339e-18,-0.015295904196633788,True,"Uses closure mode 'minimal_trace' with standard static scalar-multiplet stress bookkeeping and the corresponding configured Ricci-feedback rule. Ordered-state seeds are mapped into small regular-origin component amplitudes using central_amplitude_base * exp(omega), with the ordered map supplying component direction. Any non-baseline closure mode should be read as a numerical stress variant, not a uniquely derived fresh-tree closure for the xi R |q|^2 model.",baseline,Reference provisional closure used by current full solver.,minimal_trace,0.02,20.0,0.05
continuation_07,continuation,linear_ordered_path_scalar_to_rich,minimal_trace,True,,2000,20.001000000000328,False,True,0.014354646168970031,0.0013916363946341302,0.10041177805871511,0.007280371590327314,0.03176078248631887,2.8320392624347095,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.4625,2.748893571891069,-1.3744467859455345,1.3744467859455345,0.01057492214791952,0.028688926687638956,0.0032889367143537863,-0.00794019562157972,True,"Uses closure mode 'minimal_trace' with standard static scalar-multiplet stress bookkeeping and the corresponding configured Ricci-feedback rule. Ordered-state seeds are mapped into small regular-origin component amplitudes using central_amplitude_base * exp(omega), with the ordered map supplying component direction. Any non-baseline closure mode should be read as a numerical stress variant, not a uniquely derived fresh-tree closure for the xi R |q|^2 model.",baseline,Reference provisional closure used by current full solver.,minimal_trace,0.02,20.0,0.05
continuation_08,continuation,linear_ordered_path_scalar_to_rich,minimal_trace,True,,2000,20.001000000000328,False,True,0.01489634712144958,0.0014455251404939008,0.1082188762469576,0.00784699578837507,0.03297442541400256,32974425414.002563,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.5,3.141592653589793,-1.5707963267948966,1.5707963267948966,4.0382024536981375e-18,0.03297442541400256,2.0191012268490684e-18,-2.019101226849069e-18,True,"Uses closure mode 'minimal_trace' with standard static scalar-multiplet stress bookkeeping and the corresponding configured Ricci-feedback rule. Ordered-state seeds are mapped into small regular-origin component amplitudes using central_amplitude_base * exp(omega), with the ordered map supplying component direction. Any non-baseline closure mode should be read as a numerical stress variant, not a uniquely derived fresh-tree closure for the xi R |q|^2 model.",baseline,Reference provisional closure used by current full solver.,minimal_trace,0.02,20.0,0.05
rich_nbhd_00,rich_neighborhood,ordered_rich_anchor_neighborhood,minimal_trace,True,,2000,20.001000000000328,False,True,0.01489634712144957,0.001445525140493898,0.10821887624695732,0.00784699578837506,0.03297442541400256,3.2807277833778428,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.5,2.891592653589793,-1.8207963267948966,1.3207963267948966,0.009614240050678095,0.02949441185677788,0.009614240050678093,0.005703084875946816,True,"Uses closure mode 'minimal_trace' with standard static scalar-multiplet stress bookkeeping and the corresponding configured Ricci-feedback rule. Ordered-state seeds are mapped into small regular-origin component amplitudes using central_amplitude_base * exp(omega), with the ordered map supplying component direction. Any non-baseline closure mode should be read as a numerical stress variant, not a uniquely derived fresh-tree closure for the xi R |q|^2 model.",baseline,Reference provisional closure used by current full solver.,minimal_trace,0.02,20.0,0.05
