rho,mass
-6.283185307179586,0.49309224115741884
-5.385587406153931,0.28814653989580363
-4.487989505128276,0.4198990206620314
-3.5903916041026207,0.3305342910597542
-2.6927937030769655,0.3305342865405697
-1.7951958020513104,0.4198990011122745
-0.8975979010256552,0.28814654349635455
0.0,0.4930922417643563
0.8975979010256552,0.28814654349635455
1.7951958020513104,0.4198990011122745
2.6927937030769655,0.3305342865405697
3.5903916041026207,0.3305342910597542
4.487989505128276,0.4198990206620314
5.385587406153931,0.28814653989580363
6.283185307179586,0.49309224115741884
