theta,mass,status,r_final
-6.283185307179586,0.49309224115741884,0,9.9901
-5.385587406153931,0.4930922411806502,0,9.9901
-4.487989505128276,0.4930922412110789,0,9.9901
-3.5903916041026207,0.4930922412525987,0,9.9901
-2.6927937030769655,0.4930922413124113,0,9.9901
-1.7951958020513104,0.4930922414050939,0,9.9901
-0.8975979010256552,0.4930922415614365,0,9.9901
0.0,0.4930922417643563,0,9.9901
0.8975979010256552,0.4930922415614365,0,9.9901
1.7951958020513104,0.4930922414050939,0,9.9901
2.6927937030769655,0.4930922413124113,0,9.9901
3.5903916041026207,0.4930922412525987,0,9.9901
4.487989505128276,0.4930922412110789,0,9.9901
5.385587406153931,0.4930922411806502,0,9.9901
6.283185307179586,0.49309224115741884,0,9.9901
